Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
61.2,61.76,61.76,61.808,53.21,53.21,48.32,-0.59,10.4,12.44,7.49,54.28,55.72,50.63,-0.6,10.41,12.42,7.47
61.3,61.862,61.862,61.913,53.88,53.88,49.46,-0.59,10.53,12.57,7.61,54.53,56.13,51.24,-0.6,10.43,12.44,7.48
61.4,61.965,61.965,62.017,55.71,55.71,52.35,-0.61,10.59,12.63,7.66,54.7,56.41,51.68,-0.6,10.46,12.47,7.5
61.5,62.067,62.067,62.121,58.32,58.32,56.4,-0.64,10.58,12.63,7.65,54.8,56.56,51.93,-0.6,10.5,12.51,7.53
61.6,62.17,62.17,62.226,61.08,61.08,60.68,-0.67,10.53,12.59,7.6,54.81,56.57,52.01,-0.6,10.53,12.55,7.56
61.7,62.265,62.265,62.316,63.42,64.34,63.42,-0.7,10.49,12.55,7.55,54.74,56.46,51.91,-0.6,10.58,12.6,7.6
61.8,62.354,62.354,62.392,65.13,67.05,65.13,-0.72,10.46,12.52,7.52,54.59,56.24,51.66,-0.6,10.62,12.65,7.65
61.9,62.443,62.443,62.467,66.36,69.03,66.36,-0.73,10.45,12.51,7.5,54.35,55.93,51.28,-0.6,10.67,12.71,7.7
62,62.532,62.532,62.545,67.41,70.74,67.41,-0.74,10.42,12.49,7.47,54.04,55.53,50.79,-0.59,10.72,12.77,7.75
62.1,62.619,62.619,62.635,68.22,72.08,68.22,-0.75,10.39,12.46,7.43,53.66,55.07,50.19,-0.59,10.77,12.83,7.81
62.2,62.706,62.706,62.725,68.1,72.02,68.1,-0.75,10.38,12.45,7.42,53.23,54.56,49.52,-0.59,10.83,12.9,7.86
62.3,62.793,62.793,62.815,66.05,69.07,66.05,-0.73,10.44,12.52,7.47,52.74,53.99,48.78,-0.58,10.89,12.96,7.91
62.4,62.88,62.88,62.905,61.51,62.37,61.51,-0.68,10.6,12.68,7.63,52.2,53.39,47.98,-0.57,10.94,13.02,7.97
62.5,62.968,62.968,62.994,55.01,55.01,52.71,-0.61,10.85,12.94,7.88,51.64,52.74,47.13,-0.57,11,13.08,8.02
62.6,63.055,63.055,63.084,48.11,48.11,42.46,-0.53,11.1,13.18,8.12,51.04,52.05,46.21,-0.56,11.05,13.14,8.07
62.7,63.142,63.142,63.174,42.58,42.58,34.25,-0.47,11.29,13.38,8.31,50.43,51.33,45.25,-0.55,11.09,13.2,8.12
62.8,63.229,63.229,63.264,39.36,39.36,29.49,-0.43,11.47,13.56,8.48,49.81,50.56,44.25,-0.55,11.14,13.25,8.17
