age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
17.57,17.57,17.57,17.5,17.57,8.465270778,0.562578166,0.313103635
17.67,17.67,17.67,17.591,17.67,8.466749212,0.562295148,0.311468556
17.77,17.77,17.77,17.707,17.77,8.466931715,0.561954717,0.309849566
17.87,17.87,17.87,17.812,17.87,8.464739828,0.561253951,0.308669203
17.97,17.97,17.97,17.917,17.97,8.467117901,0.560288128,0.306885892
18.07,18.07,18.07,18.022,18.07,8.470065587,0.56005626,0.304940184
18.17,18.17,18.17,18.126,18.17,8.47296764,0.559753611,0.303037475
18.27,18.27,18.27,18.231,18.27,8.471694877,0.558627388,0.300408842
18.37,18.37,18.37,18.336,18.37,8.466732055,0.557539531,0.298746234
18.47,18.47,18.47,18.44,18.47,8.465272248,0.556849883,0.297463298
18.57,18.57,18.57,18.526,18.57,8.469848092,0.556158547,0.295713458
18.67,18.67,18.67,18.588,18.67,8.470130988,0.556286756,0.29457225
18.77,18.77,18.77,18.656,18.77,8.470472394,0.555917104,0.292786791
18.869,18.869,18.869,18.748,18.87,8.472028487,0.555539524,0.291751859
18.969,18.969,18.969,18.84,18.97,8.470846279,0.555849731,0.290523686
19.068,19.068,19.068,18.932,19.07,8.467410106,0.555468722,0.288508511
19.168,19.168,19.168,19.024,19.17,8.469604951,0.555031115,0.286696671
19.267,19.267,19.267,19.115,19.27,8.467798376,0.554431848,0.284138065
19.367,19.367,19.367,19.207,19.37,8.469341401,0.555129466,0.282183297
19.466,19.466,19.466,19.299,19.47,8.46860589,0.555404839,0.280600249
19.566,19.566,19.566,19.391,19.57,8.464834051,0.554797075,0.278650096
19.665,19.665,19.665,19.483,19.67,8.465930059,0.554040367,0.276756146
19.759,19.759,19.759,19.586,19.77,8.467746699,0.553476998,0.275433849
19.844,19.844,19.844,19.705,19.87,8.46649624,0.553105338,0.273698561
19.929,19.929,19.929,19.824,19.97,8.463670941,0.552698386,0.272086762
20.014,20.014,20.014,19.943,20.07,8.464728361,0.552942198,0.270439373
20.129,20.129,20.129,20.083,20.17,8.464895631,0.552399576,0.268318837
20.258,20.258,20.258,20.235,20.27,8.466343828,0.552507495,0.265911837
20.39,20.39,20.39,20.39,20.37,8.464955801,0.552326784,0.264695765
20.503,20.503,20.503,20.523,20.47,8.466076059,0.553001389,0.263045952
20.604,20.604,20.604,20.642,20.57,8.466446571,0.552898885,0.260883608
20.706,20.706,20.706,20.761,20.67,8.470900034,0.552105549,0.259624298
20.803,20.803,20.803,20.857,20.77,8.474668241,0.552529493,0.258056879
20.9,20.9,20.9,20.952,20.87,8.473491621,0.552377393,0.256069912
20.998,20.998,20.998,21.047,20.97,8.480558208,0.55191179,0.254859351
21.089,21.089,21.089,21.136,21.07,8.484982458,0.551183379,0.253370334
21.142,21.142,21.142,21.188,21.17,8.489264722,0.550732164,0.252284465
21.217,21.217,21.217,21.26,21.27,8.491134764,0.550307745,0.251113214
21.302,21.302,21.302,21.343,21.37,8.495799095,0.550764492,0.249402977
21.388,21.388,21.388,21.426,21.47,8.503546687,0.550948462,0.247473942
21.515,21.515,21.515,21.55,21.57,8.507782712,0.550494899,0.246687896
21.637,21.637,21.637,21.67,21.67,8.515344005,0.550284702,0.24522051
21.743,21.743,21.743,21.781,21.77,8.521566638,0.550147098,0.243860545
21.836,21.836,21.836,21.879,21.87,8.531634904,0.55032569,0.242691123
21.919,21.919,21.919,21.967,21.97,8.542339102,0.550332509,0.241220824
22.013,22.013,22.013,22.065,22.07,8.552013926,0.550239626,0.239978938
22.118,22.118,22.118,22.179,22.17,8.56537305,0.550752257,0.238332004
22.223,22.223,22.223,22.293,22.27,8.574157216,0.55133864,0.237191489
22.322,22.322,22.322,22.393,22.37,8.588781814,0.551591189,0.235937684
22.416,22.416,22.416,22.482,22.47,8.601216497,0.551682839,0.235635411
22.511,22.511,22.511,22.571,22.57,8.615177537,0.551900277,0.234953867
22.614,22.614,22.614,22.666,22.67,8.623973818,0.551864846,0.234559278
22.727,22.727,22.727,22.768,22.77,8.638826426,0.552079632,0.233959049
22.823,22.823,22.823,22.876,22.87,8.653755834,0.55251539,0.232958991
22.922,22.922,22.922,22.984,22.97,8.667177849,0.554142244,0.232516277
23.069,23.066,23.066,23.07,23.07,8.681740493,0.555742883,0.232075204
23.193,23.181,23.181,23.168,23.17,8.69334541,0.556367568,0.231128509
23.313,23.265,23.265,23.266,23.27,8.704531317,0.556924907,0.230836238
23.419,23.339,23.339,23.365,23.37,8.714407742,0.557578737,0.230729477
23.514,23.433,23.433,23.465,23.47,8.728436191,0.558835026,0.230293916
23.608,23.527,23.527,23.564,23.57,8.741823,0.560094673,0.229871211
23.702,23.621,23.621,23.664,23.67,8.753935763,0.560967642,0.229259037
23.797,23.716,23.716,23.764,23.77,8.766104935,0.561858218,0.228806214
23.891,23.81,23.81,23.863,23.87,8.776381172,0.562696429,0.228828908
23.985,23.904,23.904,23.963,23.97,8.785681153,0.563679672,0.228080228
24.116,24.024,24.024,24.075,24.07,8.797016828,0.564586609,0.228300691
24.225,24.167,24.167,24.177,24.17,8.806587728,0.564993614,0.227993965
24.339,24.272,24.272,24.274,24.27,8.814444418,0.565952466,0.227462056
24.452,24.377,24.377,24.37,24.37,8.823584505,0.567267062,0.227123171
24.565,24.482,24.482,24.464,24.47,8.828161963,0.56872684,0.22746271
24.683,24.575,24.575,24.528,24.57,8.833667527,0.56948863,0.227036254
24.8,24.669,24.669,24.592,24.67,8.840106699,0.570160941,0.226026928
24.918,24.765,24.765,24.656,24.77,8.845886053,0.571258297,0.226026643
25.056,24.94,24.94,24.744,24.87,8.851643198,0.571941084,0.226162468
25.19,25.04,25.04,24.928,24.97,8.856297622,0.572863781,0.225392331
25.313,25.119,25.119,25.119,25.07,8.860677291,0.573136391,0.224637325
25.4,25.216,25.216,25.216,25.17,8.861843069,0.573386506,0.223072483
25.502,25.314,25.314,25.314,25.27,8.865094248,0.574049797,0.222058424
25.594,25.409,25.409,25.409,25.37,8.866877558,0.57434921,0.221597677
25.686,25.504,25.504,25.504,25.47,8.870552142,0.574493747,0.221079508
25.778,25.599,25.599,25.599,25.57,8.873008151,0.574146843,0.219888909
25.87,25.694,25.694,25.694,25.67,8.870739543,0.573837051,0.218283679
25.962,25.789,25.789,25.789,25.77,8.869589082,0.574500257,0.217074147
26.054,25.884,25.884,25.884,25.87,8.869537402,0.574562571,0.215667444
26.146,25.978,25.978,25.978,25.97,8.870344637,0.573975302,0.21381517
26.236,26.051,26.051,26.051,26.07,8.867798519,0.572933442,0.212015431
26.327,26.12,26.12,26.12,26.17,8.865683009,0.572059355,0.209203824
26.417,26.19,26.19,26.19,26.27,8.860845208,0.571385268,0.206697371
26.507,26.26,26.26,26.26,26.37,8.85675047,0.570184786,0.204016455
26.597,26.33,26.33,26.33,26.47,8.850748142,0.568420352,0.201496885
26.688,26.4,26.4,26.4,26.57,8.843844077,0.567168416,0.198824205
26.812,26.51,26.51,26.51,26.67,8.836099769,0.565562992,0.195956095
26.949,26.636,26.636,26.636,26.77,8.827330546,0.563121805,0.192496116
27.087,26.762,26.762,26.762,26.87,8.816372742,0.561093571,0.189182656
27.225,26.888,26.888,26.888,26.97,8.805201434,0.55819054,0.185386077
27.362,27.014,27.014,27.014,27.07,8.794467046,0.555895207,0.181628519
27.5,27.14,27.14,27.14,27.17,8.783933212,0.552800081,0.177802837
27.637,27.266,27.266,27.266,27.27,8.773805199,0.54976979,0.173460815
27.775,27.392,27.392,27.392,27.37,8.762801443,0.546630977,0.169260431
27.878,27.499,27.499,27.499,27.47,8.749872243,0.542619304,0.164393552
27.959,27.595,27.595,27.595,27.57,8.736051384,0.538193967,0.158944053
28.041,27.69,27.69,27.69,27.67,8.725002084,0.534260628,0.1532386
28.123,27.786,27.786,27.786,27.77,8.71325683,0.530584046,0.147638643
28.209,27.879,27.879,27.879,27.87,8.705721424,0.525209015,0.14099746
28.311,27.967,27.967,27.967,27.97,8.694811491,0.520718973,0.134322738
28.412,28.055,28.055,28.055,28.07,8.687201843,0.51568262,0.127855926
28.548,28.158,28.158,28.158,28.17,8.679564416,0.511643523,0.122647579
28.721,28.285,28.285,28.285,28.27,8.673791203,0.507516291,0.117182474
28.804,28.387,28.387,28.387,28.37,8.667005503,0.504170423,0.112099569
28.887,28.489,28.489,28.489,28.47,8.665673059,0.501378595,0.107271187
28.97,28.592,28.592,28.592,28.57,8.664426955,0.498086947,0.102037548
29.053,28.694,28.694,28.694,28.67,8.661970746,0.494462624,0.09738341
29.136,28.796,28.796,28.796,28.77,8.658879349,0.491734114,0.093321438
29.219,28.898,28.898,28.898,28.87,8.654958667,0.488187131,0.089090827
29.302,29,29,29,28.97,8.645792291,0.484684479,0.083708716
29.385,29.102,29.102,29.102,29.07,8.638594438,0.481224506,0.079539825
29.465,29.197,29.197,29.197,29.17,8.628020066,0.47747566,0.074117263
29.532,29.265,29.265,29.265,29.27,8.615537993,0.47350543,0.069187005
29.599,29.333,29.333,29.333,29.37,8.59988635,0.469472779,0.063431879
29.666,29.401,29.401,29.401,29.47,8.584475242,0.465588362,0.058532189
29.733,29.47,29.47,29.47,29.57,8.56293551,0.461306366,0.052671106
29.882,29.563,29.563,29.563,29.67,8.534804056,0.456234687,0.046092833
29.987,29.69,29.69,29.69,29.77,8.501308226,0.450502617,0.038080857
30.091,29.817,29.817,29.817,29.87,8.46706583,0.444023824,0.030579852
30.196,29.945,29.945,29.945,29.97,8.428969253,0.437619569,0.022621156
30.26,30.035,30.035,30.035,30.07,8.38839463,0.430648177,0.014096187
30.313,30.116,30.116,30.116,30.17,8.343211426,0.424897607,0.00616572
30.367,30.197,30.197,30.197,30.27,8.299827224,0.418889534,-0.000507069
30.421,30.278,30.278,30.278,30.37,8.254526896,0.412706698,-0.006964932
30.474,30.36,30.36,30.36,30.47,8.210573423,0.407822309,-0.014791172
30.528,30.441,30.441,30.441,30.57,8.166683384,0.403269466,-0.02194681
30.581,30.522,30.522,30.522,30.67,8.124717319,0.397457099,-0.028805214
30.66,30.621,30.621,30.617,30.77,8.085366744,0.392846213,-0.035073747
30.88,30.82,30.82,30.791,30.87,8.044542116,0.388409884,-0.042584755
31.101,31.02,31.02,30.965,30.97,8.003801668,0.382436901,-0.048401851
31.205,31.122,31.122,31.07,31.07,7.961514509,0.377414283,-0.055339818
31.301,31.217,31.217,31.17,31.17,7.925839279,0.372232522,-0.06115342
31.398,31.312,31.312,31.27,31.27,7.887629432,0.36855929,-0.066773374
